time,open,high,low,close,tick_volume,spread,real_volume,datetime
1738118700,1.0431300000000001,1.04353,1.04307,1.04335,323,9,0,2025-01-29 02:45:00
1738119600,1.04334,1.04352,1.04322,1.04348,316,9,0,2025-01-29 03:00:00
1738120500,1.04347,1.04361,1.04309,1.04355,302,9,0,2025-01-29 03:15:00
1738121400,1.04354,1.04371,1.04336,1.04365,327,9,0,2025-01-29 03:30:00
1738122300,1.04365,1.04385,1.04358,1.0437,308,9,0,2025-01-29 03:45:00
1738123200,1.04371,1.04414,1.0437,1.04405,310,9,0,2025-01-29 04:00:00
1738124100,1.04405,1.0442,1.04383,1.04395,247,9,0,2025-01-29 04:15:00
1738125000,1.04395,1.04412,1.04371,1.04377,236,9,0,2025-01-29 04:30:00
1738125900,1.04377,1.04399,1.0437,1.0438,193,9,0,2025-01-29 04:45:00
1738126800,1.04381,1.04394,1.04365,1.04391,239,9,0,2025-01-29 05:00:00
1738127700,1.04392,1.04406,1.04382,1.04388,242,9,0,2025-01-29 05:15:00
1738128600,1.04389,1.04389,1.04354,1.04354,314,9,0,2025-01-29 05:30:00
1738129500,1.04355,1.04402,1.04352,1.04399,282,9,0,2025-01-29 05:45:00
1738130400,1.044,1.04431,1.04384,1.04408,519,9,0,2025-01-29 06:00:00
1738131300,1.04408,1.04426,1.04397,1.04408,333,9,0,2025-01-29 06:15:00
1738132200,1.04408,1.04432,1.04394,1.04419,366,9,0,2025-01-29 06:30:00
1738133100,1.04419,1.0442,1.0436,1.0437,454,9,0,2025-01-29 06:45:00
1738134000,1.04368,1.04376,1.04323,1.04338,666,9,0,2025-01-29 07:00:00
1738134900,1.04338,1.04347,1.04178,1.04214,802,9,0,2025-01-29 07:15:00
1738135800,1.04216,1.04228,1.04181,1.04181,757,9,0,2025-01-29 07:30:00
1738136700,1.04182,1.04211,1.04129,1.04159,808,9,0,2025-01-29 07:45:00
1738137600,1.04161,1.04261,1.04161,1.04236,980,9,0,2025-01-29 08:00:00
1738138500,1.04236,1.04294,1.04224,1.0425,756,9,0,2025-01-29 08:15:00
1738139400,1.0425,1.04301,1.04243,1.04266,722,9,0,2025-01-29 08:30:00
1738140300,1.04268,1.04287,1.04216,1.0424,590,9,0,2025-01-29 08:45:00
1738141200,1.04238,1.04243,1.04086,1.04131,937,9,0,2025-01-29 09:00:00
1738142100,1.04133,1.04153,1.04103,1.04136,672,9,0,2025-01-29 09:15:00
1738143000,1.04137,1.04184,1.04106,1.04138,852,9,0,2025-01-29 09:30:00
1738143900,1.0414,1.04142,1.04017,1.04037,883,9,0,2025-01-29 09:45:00
1738144800,1.04039,1.04055,1.03962,1.03982,887,9,0,2025-01-29 10:00:00
1738145700,1.03983,1.04043,1.03944,1.04042,743,9,0,2025-01-29 10:15:00
1738146600,1.04041,1.04079,1.03996,1.04016,735,9,0,2025-01-29 10:30:00
1738147500,1.04016,1.04046,1.0398,1.04034,798,9,0,2025-01-29 10:45:00
1738148400,1.04036,1.04072,1.04013,1.04069,624,9,0,2025-01-29 11:00:00
1738149300,1.04071,1.04072,1.04026,1.04055,555,9,0,2025-01-29 11:15:00
1738150200,1.04054,1.04078,1.03987,1.03995,667,9,0,2025-01-29 11:30:00
1738151100,1.03998,1.04021,1.03968,1.04011,611,9,0,2025-01-29 11:45:00
1738152000,1.04012,1.0404,1.03981,1.03986,644,9,0,2025-01-29 12:00:00
1738152900,1.03984,1.04,1.0393,1.03953,830,9,0,2025-01-29 12:15:00
1738153800,1.03951,1.04033,1.03944,1.04021,724,9,0,2025-01-29 12:30:00
1738154700,1.04021,1.04043,1.03991,1.04037,686,9,0,2025-01-29 12:45:00
1738155600,1.04036,1.04053,1.03875,1.03919,1117,9,0,2025-01-29 13:00:00
1738156500,1.03916,1.03919,1.03821,1.03873,1344,9,0,2025-01-29 13:15:00
1738157400,1.03874,1.03926,1.03831,1.03887,1000,9,0,2025-01-29 13:30:00
1738158300,1.03888,1.03899,1.03818,1.03874,929,9,0,2025-01-29 13:45:00
1738159200,1.03876,1.03968,1.03859,1.03961,912,9,0,2025-01-29 14:00:00
1738160100,1.03962,1.03987,1.03948,1.03961,767,9,0,2025-01-29 14:15:00
1738161000,1.03963,1.03993,1.03917,1.03965,934,9,0,2025-01-29 14:30:00
1738161900,1.03965,1.04011,1.03932,1.04006,1080,9,0,2025-01-29 14:45:00
1738162800,1.04008,1.04064,1.03943,1.04051,1024,9,0,2025-01-29 15:00:00
